class_id,pixels,frequency,weight
0,503892,0.000223880040,1.43726397
1,3651672,0.001622443844,1.34522438
2,3671486,0.001631247236,1.34468269
3,510732302,0.226919197350,0.13040408
4,871363467,0.387148213961,0.08425050
5,2295309,0.001019809544,1.38338208
6,7357905,0.003269129229,1.25103772
7,173939967,0.077281811908,0.30997694
8,14303276,0.006354968927,1.10622776
9,2665460,0.001184268239,1.37275350
10,29701623,0.013196479692,0.88118023
11,156601714,0.069578397735,0.33543250
12,31696062,0.014082612202,0.85863996
13,236736129,0.105182249421,0.24398685
14,48376410,0.021493718108,0.70781851
15,13886052,0.006169595622,1.11396265
16,109159,0.000048499522,1.44971180
17,192386,0.000085477415,1.44706917
18,16549645,0.007353034349,1.06638384
19,104477762,0.046419640585,0.44749522
20,169401,0.000075265141,1.44779801
21,2523651,0.001121262268,1.37680590
22,3733915,0.001658984543,1.34297895
23,13677833,0.006077083579,1.11786401
24,1806722,0.000802729540,1.39766884
