metric,value
best_epoch,26
val_loss,0.255594
val_pixel_accuracy,0.928082
val_mean_iou,0.620560

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,46,0,13472,0.000000,present_but_no_true_positive
1,148307,59817,49494,158630,0.312009,present
2,67818,45807,42326,71299,0.593641,present
3,13923779,14019408,13041490,14901697,0.875168,present
4,23519044,23809582,22657439,24671187,0.918377,present
5,71845,45676,33313,84208,0.395604,present
6,137257,130338,115756,151839,0.762360,present
7,4845315,4635697,4226921,5254091,0.804501,present
8,302346,295427,264773,333000,0.795114,present
9,40505,26930,23260,44175,0.526542,present
10,911811,917650,885405,944056,0.937873,present
11,4148624,4117904,3796670,4469858,0.849394,present
12,928096,918504,841426,1005174,0.837095,present
13,6629909,6814256,6184704,7259461,0.851951,present
14,1118808,1121616,1071970,1168454,0.917426,present
15,436338,346639,267385,515592,0.518598,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,3786,2835,5200,0.545192,present
18,338489,358164,273221,423432,0.645254,present
19,2815384,2749492,2320378,3244498,0.715173,present
20,3615,583,263,3935,0.066836,present
21,53749,45056,29864,68941,0.433182,present
22,85408,94503,76124,103787,0.733464,present
23,286740,272142,255657,303225,0.843126,present
24,35676,37537,28465,44748,0.636118,present
