metric,value
pixel_accuracy,0.920849
mean_iou,0.568648

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,48127,32480,147000,0.220952,present
2,134647,115143,89060,160730,0.554097,present
3,13499520,13546819,12498348,14547991,0.859112,present
4,23856123,24525154,23067774,25313503,0.911283,present
5,58520,19294,13595,64219,0.211697,present
6,194693,182042,169619,207116,0.818957,present
7,4675018,4232325,3922249,4985094,0.786795,present
8,376236,342509,308900,409845,0.753700,present
9,34149,16260,10519,39890,0.263700,present
10,1285617,1293558,1256647,1322528,0.950186,present
11,4099455,4116122,3772885,4442692,0.849234,present
12,932947,933476,842606,1023817,0.823005,present
13,6376874,6465214,5834573,7007515,0.832617,present
14,1219951,1257925,1167744,1310132,0.891318,present
15,332206,200146,153608,378744,0.405572,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,45,36,1987,0.018118,present
18,466908,474672,389678,551902,0.706064,present
19,2732858,2670962,2146014,3257806,0.658730,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,52242,41873,80772,0.518410,present
22,109386,124264,98425,135225,0.727861,present
23,353558,354901,338160,370299,0.913208,present
24,68854,59200,44987,83067,0.541575,present
