metric,value
best_epoch,29
val_loss,0.242870
val_pixel_accuracy,0.921087
val_mean_iou,0.578015

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,78378,54908,171777,0.319647,present
2,67818,56249,45954,78113,0.588302,present
3,13923779,14007468,12956516,14974731,0.865225,present
4,23519044,24177488,22732535,24963997,0.910613,present
5,71845,28052,21349,78548,0.271796,present
6,137257,112050,102473,146834,0.697883,present
7,4845315,4379990,4059430,5165875,0.785817,present
8,302346,282960,250473,334833,0.748054,present
9,40505,18163,14169,44499,0.318412,present
10,911811,931985,888494,955302,0.930066,present
11,4148624,4131274,3784763,4495135,0.841969,present
12,928096,951125,845735,1033486,0.818332,present
13,6629909,6797922,6108642,7319189,0.834606,present
14,1118808,1130387,1073100,1176095,0.912426,present
15,436338,272378,217367,491349,0.442388,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,2368,1943,4674,0.415704,present
18,338489,355304,262775,431018,0.609661,present
19,2815384,2715750,2265025,3266109,0.693493,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,30795,23186,61358,0.377881,present
22,85408,96783,76178,106013,0.718572,present
23,286740,275410,254371,307779,0.826473,present
24,35676,34281,24025,45932,0.523056,present
