metric,value
pixel_accuracy,0.926652
mean_iou,0.619617

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,142,4,10780,0.000371,present
1,131353,45860,32768,144445,0.226855,present
2,134647,91353,81439,144561,0.563354,present
3,13499520,13733747,12625938,14607329,0.864356,present
4,23856123,24153566,22998962,25010727,0.919564,present
5,58520,34116,24378,68258,0.357145,present
6,194693,195499,177978,212214,0.838672,present
7,4675018,4493378,4097614,5070782,0.808083,present
8,376236,358889,330547,404578,0.817017,present
9,34149,22435,15550,41034,0.378954,present
10,1285617,1285222,1258567,1312272,0.959075,present
11,4099455,4093631,3786299,4406787,0.859197,present
12,932947,910592,847358,996181,0.850606,present
13,6376874,6362837,5807191,6932520,0.837674,present
14,1219951,1250324,1170461,1299814,0.900483,present
15,332206,268748,193461,407493,0.474759,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,1924,1271,2631,0.483086,present
18,466908,470452,382423,554937,0.689129,present
19,2732858,2662620,2181763,3213715,0.678891,present
20,3759,340,239,3860,0.061917,present
21,70403,51913,42236,80080,0.527423,present
22,109386,120325,99901,129810,0.769594,present
23,353558,350097,339972,363683,0.934803,present
24,68854,72390,57639,83605,0.689420,present
