metric,value
best_epoch,28
val_loss,0.255468
val_pixel_accuracy,0.926859
val_mean_iou,0.616294

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,59,0,13485,0.000000,present_but_no_true_positive
1,148307,60262,50344,158225,0.318180,present
2,67818,52160,44558,75420,0.590798,present
3,13923779,14097412,13078838,14942353,0.875286,present
4,23519044,23733722,22604171,24648595,0.917057,present
5,71845,68612,42099,98358,0.428018,present
6,137257,130650,114285,153622,0.743936,present
7,4845315,4757251,4284561,5318005,0.805671,present
8,302346,300837,266106,337077,0.789452,present
9,40505,59689,24485,75709,0.323409,present
10,911811,940033,891901,959943,0.929119,present
11,4148624,4076972,3765432,4460164,0.844236,present
12,928096,933465,845537,1016024,0.832202,present
13,6629909,6712637,6118568,7223978,0.846980,present
14,1118808,1117342,1066994,1169156,0.912619,present
15,436338,368517,277069,527786,0.524965,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,3729,2869,5109,0.561558,present
18,338489,372132,276860,433761,0.638278,present
19,2815384,2644254,2274132,3185506,0.713900,present
20,3615,990,493,4112,0.119893,present
21,53749,52709,33872,72586,0.466646,present
22,85408,83988,73131,96265,0.759684,present
23,286740,261568,250184,298124,0.839194,present
24,35676,37570,28207,45039,0.626279,present
