metric,value
best_epoch,9
val_loss,0.230955
val_pixel_accuracy,0.922409
val_mean_iou,0.563804

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,77161,54894,170574,0.321819,present
2,67818,49042,40268,76592,0.525747,present
3,13923779,13768717,12868661,14823835,0.868106,present
4,23519044,23781982,22574907,24726119,0.912998,present
5,71845,35122,23542,83425,0.282194,present
6,137257,123606,105358,155505,0.677522,present
7,4845315,4615186,4189780,5270721,0.794916,present
8,302346,318636,265075,355907,0.744787,present
9,40505,21796,17566,44735,0.392668,present
10,911811,932078,883038,960851,0.919017,present
11,4148624,4157006,3788932,4516698,0.838872,present
12,928096,930926,836027,1022995,0.817235,present
13,6629909,6945912,6210090,7365731,0.843106,present
14,1118808,1113270,1062990,1169088,0.909247,present
15,436338,368532,263410,541460,0.486481,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,344746,259750,423485,0.613363,present
19,2815384,2812639,2316712,3311311,0.699636,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,66288,33608,86429,0.388851,present
22,85408,90720,73497,102631,0.716129,present
23,286740,277762,250748,313754,0.799187,present
24,35676,35433,25031,46078,0.543231,present
