metric,value
pixel_accuracy,0.922815
mean_iou,0.572301

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,48097,31301,148149,0.211281,present
2,134647,102710,85081,152276,0.558729,present
3,13499520,13419151,12466316,14452355,0.862580,present
4,23856123,24149205,22933358,25071970,0.914701,present
5,58520,28219,17804,68935,0.258272,present
6,194693,184844,169002,210535,0.802726,present
7,4675018,4452114,4047369,5079763,0.796763,present
8,376236,383952,332721,427467,0.778355,present
9,34149,33506,11824,55831,0.211782,present
10,1285617,1305287,1259648,1331256,0.946210,present
11,4099455,4145805,3786303,4458957,0.849145,present
12,932947,918334,838319,1012962,0.827592,present
13,6376874,6499078,5860276,7015676,0.835312,present
14,1219951,1254267,1168572,1305646,0.895014,present
15,332206,294043,194691,431558,0.451135,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,469423,382159,554172,0.689604,present
19,2732858,2724877,2199497,3258238,0.675057,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,70221,47290,93334,0.506675,present
22,109386,122502,97551,134337,0.726166,present
23,353558,356729,339680,370607,0.916550,present
24,68854,68036,51005,85885,0.593876,present
