metric,value
best_epoch,10
val_loss,0.299517
val_pixel_accuracy,0.910006
val_mean_iou,0.438265

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,23019,20590,70247,0.293109,present
3,13923779,14375286,13011833,15287232,0.851157,present
4,23519044,24231445,22658910,25091579,0.903048,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,123484,92020,168721,0.545397,present
7,4845315,4503557,4089783,5259089,0.777660,present
8,302346,308427,223925,386848,0.578845,present
9,40505,0,0,40505,0.000000,present_in_gt_not_predicted
10,911811,916813,858505,970119,0.884948,present
11,4148624,4049025,3692512,4505137,0.819623,present
12,928096,915357,799637,1043816,0.766071,present
13,6629909,6718260,6007917,7340252,0.818489,present
14,1118808,1119083,1047608,1190283,0.880134,present
15,436338,196138,139984,492492,0.284236,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,288284,224289,402484,0.557262,present
19,2815384,2730274,2214573,3331085,0.664820,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,0,0,53749,0.000000,present_in_gt_not_predicted
22,85408,88965,64018,110355,0.580110,present
23,286740,279143,242840,323043,0.751727,present
24,35676,0,0,35676,0.000000,present_in_gt_not_predicted
