metric,value
pixel_accuracy,0.909298
mean_iou,0.453369

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,0,0,131353,0.000000,present_in_gt_not_predicted
2,134647,48350,44810,138187,0.324271,present
3,13499520,13925076,12543312,14881284,0.842892,present
4,23856123,24583995,22988185,25451933,0.903200,present
5,58520,0,0,58520,0.000000,present_in_gt_not_predicted
6,194693,168817,141609,221901,0.638163,present
7,4675018,4361106,3951724,5084400,0.777225,present
8,376236,378184,291722,462698,0.630480,present
9,34149,0,0,34149,0.000000,present_in_gt_not_predicted
10,1285617,1292201,1232013,1345805,0.915447,present
11,4099455,4059272,3682424,4476303,0.822649,present
12,932947,897969,796231,1034685,0.769540,present
13,6376874,6439508,5765535,7050847,0.817708,present
14,1219951,1236090,1140886,1315155,0.867492,present
15,332206,138140,97027,373319,0.259904,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,404447,335714,535641,0.626752,present
19,2732858,2617385,2063058,3287185,0.627606,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,0,0,70403,0.000000,present_in_gt_not_predicted
22,109386,131051,94021,146416,0.642150,present
23,353558,348809,326520,375847,0.868758,present
24,68854,0,0,68854,0.000000,present_in_gt_not_predicted
