metric,value
best_epoch,10
val_loss,0.280427
val_pixel_accuracy,0.912294
val_mean_iou,0.456431

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,43930,34990,76758,0.455848,present
3,13923779,14339224,13019115,15243888,0.854055,present
4,23519044,24101749,22620542,25000251,0.904813,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,137592,100018,174831,0.572084,present
7,4845315,4604712,4149890,5300137,0.782978,present
8,302346,307173,231146,378373,0.610895,present
9,40505,0,0,40505,0.000000,present_in_gt_not_predicted
10,911811,912814,862730,961895,0.896907,present
11,4148624,4040291,3700760,4488155,0.824562,present
12,928096,904426,798810,1033712,0.772759,present
13,6629909,6677301,6003160,7304050,0.821895,present
14,1118808,1125483,1056866,1187425,0.890049,present
15,436338,233807,170959,499186,0.342476,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,304996,232134,411351,0.564321,present
19,2815384,2747401,2228774,3334011,0.668496,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,6724,4865,55608,0.087487,present
22,85408,89282,66193,108497,0.610091,present
23,286740,289655,247228,329167,0.751072,present
24,35676,0,0,35676,0.000000,present_in_gt_not_predicted
