metric,value
best_epoch,10
val_loss,0.290411
val_pixel_accuracy,0.910660
val_mean_iou,0.444147

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,30178,25442,72554,0.350663,present
3,13923779,14403469,13024964,15302284,0.851178,present
4,23519044,24177201,22645667,25050578,0.903998,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,127419,94509,170167,0.555390,present
7,4845315,4550968,4120394,5275889,0.780986,present
8,302346,310946,228411,384881,0.593459,present
9,40505,0,0,40505,0.000000,present_in_gt_not_predicted
10,911811,920569,862490,969890,0.889266,present
11,4148624,4044073,3695370,4497327,0.821681,present
12,928096,914135,800744,1041487,0.768847,present
13,6629909,6668569,5980136,7318342,0.817144,present
14,1118808,1114187,1047433,1185562,0.883491,present
15,436338,220752,157019,500071,0.313993,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,296148,228343,406294,0.562014,present
19,2815384,2715069,2208097,3322356,0.664618,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,183,152,53780,0.002826,present
22,85408,88390,64736,109062,0.593571,present
23,286740,284304,244836,326208,0.750552,present
24,35676,0,0,35676,0.000000,present_in_gt_not_predicted
