metric,value
best_epoch,10
val_loss,0.243168
val_pixel_accuracy,0.919847
val_mean_iou,0.544177

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,48219,40739,155787,0.261504,present
2,67818,61992,47305,82505,0.573359,present
3,13923779,13880474,12924152,14880101,0.868553,present
4,23519044,23615951,22441873,24693122,0.908831,present
5,71845,25560,20622,76783,0.268575,present
6,137257,139042,112323,163976,0.684997,present
7,4845315,4621182,4179452,5287045,0.790508,present
8,302346,346702,266986,382062,0.698803,present
9,40505,68450,15618,93337,0.167329,present
10,911811,916738,878851,949698,0.925400,present
11,4148624,4182709,3806470,4524863,0.841234,present
12,928096,889461,810982,1006575,0.805685,present
13,6629909,6902333,6147818,7384424,0.832539,present
14,1118808,1118331,1066133,1171006,0.910442,present
15,436338,293262,230129,499471,0.460745,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,357011,260980,434520,0.600617,present
19,2815384,2972992,2372807,3415569,0.694703,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,27994,19269,62474,0.308432,present
22,85408,91787,72022,105173,0.684796,present
23,286740,270944,249436,308248,0.809206,present
24,35676,35426,23957,47145,0.508156,present
