metric,value
best_epoch,9
val_loss,0.231231
val_pixel_accuracy,0.922237
val_mean_iou,0.565727

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,48585,42948,153944,0.278985,present
2,67818,48773,42468,74123,0.572940,present
3,13923779,13771186,12856541,14838424,0.866436,present
4,23519044,23877404,22619865,24776583,0.912953,present
5,71845,35054,24936,81963,0.304235,present
6,137257,126268,108239,155286,0.697030,present
7,4845315,4546867,4149775,5242407,0.791578,present
8,302346,328676,267697,363325,0.736798,present
9,40505,23634,17201,46938,0.366462,present
10,911811,936236,884209,963838,0.917383,present
11,4148624,4174974,3808571,4515027,0.843532,present
12,928096,939027,842903,1024220,0.822971,present
13,6629909,7030275,6233054,7427130,0.839228,present
14,1118808,1117473,1065939,1170342,0.910793,present
15,436338,352765,258003,531100,0.485790,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,308682,242550,404621,0.599450,present
19,2815384,2744910,2287557,3272737,0.698974,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,55957,32956,76750,0.429394,present
22,85408,85339,71590,99157,0.721986,present
23,286740,278056,250926,313870,0.799458,present
24,35676,36419,25486,46609,0.546804,present
