metric,value
best_epoch,7
val_loss,0.373029
val_pixel_accuracy,0.905987
val_mean_iou,0.553880

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,131726,66997,213036,0.314487,present
2,67818,62377,44455,85740,0.518486,present
3,13923779,13517797,12659031,14782545,0.856350,present
4,23519044,21887561,21305635,24100970,0.884016,present
5,71845,114392,47137,139100,0.338871,present
6,137257,137981,114938,160300,0.717018,present
7,4845315,5483471,4475844,5852942,0.764717,present
8,302346,380441,276408,406379,0.680173,present
9,40505,50355,23822,67038,0.355351,present
10,911811,941133,884606,968338,0.913530,present
11,4148624,4371170,3865259,4654535,0.830429,present
12,928096,1105481,874202,1159375,0.754029,present
13,6629909,6745716,6026374,7349251,0.819998,present
14,1118808,1139685,1074453,1184040,0.907447,present
15,436338,628160,328414,736084,0.446164,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,9797,3204,10842,0.295517,present
18,338489,393731,269662,462558,0.582980,present
19,2815384,3170886,2389009,3597261,0.664119,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,78454,35696,96507,0.369880,present
22,85408,127686,81552,131542,0.619969,present
23,286740,311346,264068,334018,0.790580,present
24,35676,77214,33551,79339,0.422882,present
