metric,value
pixel_accuracy,0.903670
mean_iou,0.554712

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,74433,39373,166413,0.236598,present
2,134647,119890,88935,165602,0.537041,present
3,13499520,13133597,12188619,14444498,0.843824,present
4,23856123,22169356,21585648,24439831,0.883216,present
5,58520,106039,37209,127350,0.292179,present
6,194693,198133,176984,215842,0.819970,present
7,4675018,5344007,4331871,5687154,0.761694,present
8,376236,466557,347943,494850,0.703128,present
9,34149,79141,16502,96788,0.170496,present
10,1285617,1338907,1261417,1363107,0.925398,present
11,4099455,4406584,3880590,4625449,0.838965,present
12,932947,1088253,875400,1145800,0.764008,present
13,6376874,6279653,5655594,7000933,0.807834,present
14,1219951,1295682,1180958,1334675,0.884828,present
15,332206,495463,237280,590389,0.401905,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,4430,1369,5039,0.271681,present
18,466908,554019,397896,623031,0.638646,present
19,2732858,3118894,2286382,3565370,0.641275,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,87013,49569,107847,0.459623,present
22,109386,165223,104900,169709,0.618117,present
23,353558,372170,341628,384100,0.889425,present
24,68854,132956,65262,136548,0.477942,present
