run_id,model,run_dir,epochs,learning_rate,optimizer,weight_decay,scheduler,loss,best_epoch,val_mean_iou,test_mean_iou,test_pixel_accuracy
2026-05-11_18-08-42,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\2026-05-11_18-08-42,,,,,,,3,0.338408,0.338648,0.904623
hp_lr_ep10_unet_resnet34_lr_lr1e-4_ep10_lr0p0001_adam_wd0_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\hp_lr_ep10_unet_resnet34_lr_lr1e-4_ep10_lr0p0001_adam_wd0_none,10,0.0001,adam,0.0,none,,10,0.500843,0.517497,0.923015
hp_lr_ep10_deeplabv3plus_resnet50_lr_lr1e-4_ep10_lr0p0001_adam_wd0_none,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\hp_lr_ep10_deeplabv3plus_resnet50_lr_lr1e-4_ep10_lr0p0001_adam_wd0_none,10,0.0001,adam,0.0,none,,9,0.563804,0.572301,0.922815
hp_lr_ep10_segformer_b0_lr_lr1e-4_ep10_lr0p0001_adam_wd0_none,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\hp_lr_ep10_segformer_b0_lr_lr1e-4_ep10_lr0p0001_adam_wd0_none,10,0.0001,adam,0.0,none,,10,0.576917,0.563968,0.918485
hp_lr_ep10_unet_resnet34_lr_lr3e-5_ep10_lr3em05_adam_wd0_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\hp_lr_ep10_unet_resnet34_lr_lr3e-5_ep10_lr3em05_adam_wd0_none,10,3e-05,adam,0.0,none,,10,0.370671,0.374288,0.909234
hp_lr_ep10_deeplabv3plus_resnet50_lr_lr3e-5_ep10_lr3em05_adam_wd0_none,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\hp_lr_ep10_deeplabv3plus_resnet50_lr_lr3e-5_ep10_lr3em05_adam_wd0_none,10,3e-05,adam,0.0,none,,10,0.522873,0.543089,0.919422
hp_lr_ep10_segformer_b0_lr_lr3e-5_ep10_lr3em05_adam_wd0_none,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\hp_lr_ep10_segformer_b0_lr_lr3e-5_ep10_lr3em05_adam_wd0_none,10,3e-05,adam,0.0,none,,10,0.539067,0.542273,0.915755
hp_lr_ep10_unet_resnet34_lr_lr1e-5_ep10_lr1em05_adam_wd0_none,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\hp_lr_ep10_unet_resnet34_lr_lr1e-5_ep10_lr1em05_adam_wd0_none,10,1e-05,adam,0.0,none,,10,0.341428,0.349949,0.899525
hp_lr_ep10_deeplabv3plus_resnet50_lr_lr1e-5_ep10_lr1em05_adam_wd0_none,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\hp_lr_ep10_deeplabv3plus_resnet50_lr_lr1e-5_ep10_lr1em05_adam_wd0_none,10,1e-05,adam,0.0,none,,10,0.438265,0.453369,0.909298
hp_lr_ep10_segformer_b0_lr_lr1e-5_ep10_lr1em05_adam_wd0_none,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\hp_lr_ep10_segformer_b0_lr_lr1e-5_ep10_lr1em05_adam_wd0_none,10,1e-05,adam,0.0,none,,10,0.445504,0.474077,0.903453
