number,state,value,lr,optimizer,weight_decay,scheduler,run_id,run_dir,best_epoch,val_loss,val_pixel_accuracy,test_mean_iou,test_pixel_accuracy
0,COMPLETE,0.505006,2.368863950364079e-05,adam,0.0,none,optuna_all_ep10_deeplabv3plus_resnet50_trial000_ep10_lr2p36886em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial000_ep10_lr2p36886em05_adam_wd0_none,10,0.255044,0.917222,,
1,COMPLETE,0.458704,1.4321698289111523e-05,adamw,1.0994335574766194e-06,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial001_ep10_lr1p43217em05_adamw_wd1p09943em06_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial001_ep10_lr1p43217em05_adamw_wd1p09943em06_plateau,10,0.278249,0.912681,,
2,COMPLETE,0.563116,9.330606024425662e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial002_ep10_lr9p33061em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial002_ep10_lr9p33061em05_adam_wd0_plateau,9,0.232828,0.921909,,
3,COMPLETE,0.492402,2.0148477884158675e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial003_ep10_lr2p01485em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial003_ep10_lr2p01485em05_adam_wd0_plateau,10,0.262179,0.915759,,
4,COMPLETE,0.456431,1.378776461935377e-05,adamw,2.5081156860452325e-06,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial004_ep10_lr1p37878em05_adamw_wd2p50812em06_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial004_ep10_lr1p37878em05_adamw_wd2p50812em06_plateau,10,0.280427,0.912294,,
5,COMPLETE,0.523883,3.267641765781762e-05,adam,0.0,none,optuna_all_ep10_deeplabv3plus_resnet50_trial005_ep10_lr3p26764em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial005_ep10_lr3p26764em05_adam_wd0_none,10,0.247146,0.918840,,
6,COMPLETE,0.444147,1.1615865989246456e-05,adamw,1.5679933916723006e-06,none,optuna_all_ep10_deeplabv3plus_resnet50_trial006_ep10_lr1p16159em05_adamw_wd1p56799em06_none,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial006_ep10_lr1p16159em05_adamw_wd1p56799em06_none,10,0.290411,0.910660,,
7,COMPLETE,0.544177,4.833180632488465e-05,adam,0.0,none,optuna_all_ep10_deeplabv3plus_resnet50_trial007_ep10_lr4p83318em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial007_ep10_lr4p83318em05_adam_wd0_none,10,0.243168,0.919847,,
8,COMPLETE,0.557504,8.115595675970508e-05,adamw,1.2399967836846103e-05,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial008_ep10_lr8p1156em05_adamw_wd1p24em05_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial008_ep10_lr8p1156em05_adamw_wd1p24em05_plateau,9,0.231365,0.922570,,
9,COMPLETE,0.462836,1.5305744365500174e-05,adam,0.0,none,optuna_all_ep10_deeplabv3plus_resnet50_trial009_ep10_lr1p53057em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial009_ep10_lr1p53057em05_adam_wd0_none,10,0.275084,0.913131,,
10,COMPLETE,0.55903,9.538839436462497e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial010_ep10_lr9p53884em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial010_ep10_lr9p53884em05_adam_wd0_plateau,9,0.233769,0.921921,,
11,COMPLETE,0.562304,9.017613421524532e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial011_ep10_lr9p01761em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial011_ep10_lr9p01761em05_adam_wd0_plateau,9,0.230945,0.922270,,
12,COMPLETE,0.54916,6.230989238482034e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial012_ep10_lr6p23099em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial012_ep10_lr6p23099em05_adam_wd0_plateau,9,0.235776,0.921287,,
13,COMPLETE,0.545826,5.059673516443075e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial013_ep10_lr5p05967em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial013_ep10_lr5p05967em05_adam_wd0_plateau,9,0.238095,0.921389,,
14,COMPLETE,0.554624,7.067323931843216e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial014_ep10_lr7p06732em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial014_ep10_lr7p06732em05_adam_wd0_plateau,9,0.233210,0.922166,,
15,COMPLETE,0.537868,3.886778682968846e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial015_ep10_lr3p88678em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial015_ep10_lr3p88678em05_adam_wd0_plateau,10,0.242171,0.919903,,
16,COMPLETE,0.563251,8.920029306136654e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial016_ep10_lr8p92003em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial016_ep10_lr8p92003em05_adam_wd0_plateau,9,0.231284,0.923152,,
17,COMPLETE,0.551628,6.177827793701867e-05,adam,0.0,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial017_ep10_lr6p17783em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial017_ep10_lr6p17783em05_adam_wd0_plateau,9,0.236180,0.921349,,
18,COMPLETE,0.54506,5.025306966392659e-05,adamw,9.818226878189116e-05,plateau,optuna_all_ep10_deeplabv3plus_resnet50_trial018_ep10_lr5p02531em05_adamw_wd9p81823em05_plateau,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\optuna_all_ep10_deeplabv3plus_resnet50_trial018_ep10_lr5p02531em05_adamw_wd9p81823em05_plateau,9,0.237824,0.921220,,
