number,state,value,lr,optimizer,weight_decay,scheduler,run_id,run_dir,best_epoch,val_loss,val_pixel_accuracy,test_mean_iou,test_pixel_accuracy
0,COMPLETE,0.522098,2.368863950364079e-05,adam,0.0,none,optuna_all_ep10_segformer_b0_trial000_ep10_lr2p36886em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial000_ep10_lr2p36886em05_adam_wd0_none,10,0.248875,0.914394,,
1,COMPLETE,0.473232,1.4321698289111523e-05,adamw,1.0994335574766194e-06,plateau,optuna_all_ep10_segformer_b0_trial001_ep10_lr1p43217em05_adamw_wd1p09943em06_plateau,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial001_ep10_lr1p43217em05_adamw_wd1p09943em06_plateau,10,0.271443,0.908716,,
2,COMPLETE,0.575667,9.330606024425662e-05,adam,0.0,plateau,optuna_all_ep10_segformer_b0_trial002_ep10_lr9p33061em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial002_ep10_lr9p33061em05_adam_wd0_plateau,10,0.227059,0.920041,,
3,COMPLETE,0.50191,2.0148477884158675e-05,adam,0.0,plateau,optuna_all_ep10_segformer_b0_trial003_ep10_lr2p01485em05_adam_wd0_plateau,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial003_ep10_lr2p01485em05_adam_wd0_plateau,10,0.255059,0.912915,,
4,COMPLETE,0.470215,1.378776461935377e-05,adamw,2.5081156860452325e-06,plateau,optuna_all_ep10_segformer_b0_trial004_ep10_lr1p37878em05_adamw_wd2p50812em06_plateau,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial004_ep10_lr1p37878em05_adamw_wd2p50812em06_plateau,10,0.273517,0.908173,,
5,COMPLETE,0.543277,3.267641765781762e-05,adam,0.0,none,optuna_all_ep10_segformer_b0_trial005_ep10_lr3p26764em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial005_ep10_lr3p26764em05_adam_wd0_none,10,0.239417,0.916743,,
6,COMPLETE,0.457946,1.1615865989246456e-05,adamw,1.5679933916723006e-06,none,optuna_all_ep10_segformer_b0_trial006_ep10_lr1p16159em05_adamw_wd1p56799em06_none,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial006_ep10_lr1p16159em05_adamw_wd1p56799em06_none,10,0.283420,0.905697,,
7,COMPLETE,0.559048,4.833180632488465e-05,adam,0.0,none,optuna_all_ep10_segformer_b0_trial007_ep10_lr4p83318em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial007_ep10_lr4p83318em05_adam_wd0_none,10,0.232141,0.918603,,
8,COMPLETE,0.574521,8.115595675970508e-05,adamw,1.2399967836846103e-05,plateau,optuna_all_ep10_segformer_b0_trial008_ep10_lr8p1156em05_adamw_wd1p24em05_plateau,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial008_ep10_lr8p1156em05_adamw_wd1p24em05_plateau,10,0.227579,0.919476,,
9,COMPLETE,0.478109,1.5305744365500174e-05,adam,0.0,none,optuna_all_ep10_segformer_b0_trial009_ep10_lr1p53057em05_adam_wd0_none,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial009_ep10_lr1p53057em05_adam_wd0_none,10,0.267933,0.909641,,
