metric,value
best_epoch,28
val_loss,0.231357
val_pixel_accuracy,0.925302
val_mean_iou,0.610040

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,231,6,13651,0.000440,present
1,148307,68848,52134,165021,0.315923,present
2,67818,56151,48179,75790,0.635691,present
3,13923779,14104016,13049404,14978391,0.871215,present
4,23519044,23878131,22661280,24735895,0.916129,present
5,71845,43513,31679,83679,0.378578,present
6,137257,127028,111397,152888,0.728618,present
7,4845315,4634374,4205926,5273763,0.797519,present
8,302346,303852,266120,340078,0.782526,present
9,40505,29159,16753,52911,0.316626,present
10,911811,898763,877675,932899,0.940804,present
11,4148624,4114017,3792638,4470003,0.848464,present
12,928096,914507,833300,1009303,0.825619,present
13,6629909,6727936,6111761,7246084,0.843457,present
14,1118808,1138818,1075662,1181964,0.910063,present
15,436338,333064,255160,514242,0.496187,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,3226,2493,4982,0.500401,present
18,338489,405129,288679,454939,0.634544,present
19,2815384,2621041,2237992,3198433,0.699715,present
20,3615,1337,535,4417,0.121123,present
21,53749,44225,32655,65319,0.499931,present
22,85408,93383,75667,103124,0.733748,present
23,286740,292320,266929,312131,0.855183,present
24,35676,33491,25897,43270,0.598498,present
