metric,value
pixel_accuracy,0.913338
mean_iou,0.530676

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,43,0,10685,0.000000,present_but_no_true_positive
1,131353,38690,25487,144556,0.176312,present
2,134647,65591,60424,139814,0.432174,present
3,13499520,13399693,12340835,14558378,0.847679,present
4,23856123,24294237,22880988,25269372,0.905483,present
5,58520,23444,13531,68433,0.197726,present
6,194693,195362,170059,219996,0.773010,present
7,4675018,4602937,4099298,5178657,0.791575,present
8,376236,360842,309422,427656,0.723530,present
9,34149,6921,4977,36093,0.137894,present
10,1285617,1286718,1249811,1322524,0.945020,present
11,4099455,4178931,3755023,4523363,0.830140,present
12,932947,913077,817575,1028449,0.794959,present
13,6376874,6688685,5880441,7185118,0.818420,present
14,1219951,1192224,1124513,1287662,0.873298,present
15,332206,194761,139789,387178,0.361046,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,383,0,2361,0.000000,present_but_no_true_positive
18,466908,413180,335524,544564,0.616133,present
19,2732858,2600241,2034489,3298610,0.616772,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,49293,25476,94220,0.270388,present
22,109386,112496,93203,128679,0.724306,present
23,353558,344133,333954,363737,0.918119,present
24,68854,68518,46573,90799,0.512924,present
