metric,value
best_epoch,30
val_loss,0.258908
val_pixel_accuracy,0.914523
val_mean_iou,0.540511

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,51,0,13477,0.000000,present_but_no_true_positive
1,148307,41700,31244,158763,0.196796,present
2,67818,35884,31652,72050,0.439306,present
3,13923779,13848029,12798576,14973232,0.854764,present
4,23519044,23924977,22546904,24897117,0.905603,present
5,71845,32240,21657,82428,0.262738,present
6,137257,130832,109682,158407,0.692406,present
7,4845315,4747475,4245378,5347412,0.793913,present
8,302346,294222,248807,347761,0.715454,present
9,40505,13121,10932,42694,0.256055,present
10,911811,910294,876700,945405,0.927327,present
11,4148624,4149873,3739958,4558539,0.820429,present
12,928096,916806,818210,1026692,0.796938,present
13,6629909,7069533,6191211,7508231,0.824590,present
14,1118808,1103869,1051294,1171383,0.897481,present
15,436338,264021,195267,505092,0.386597,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,1797,1049,4997,0.209926,present
18,338489,326096,239719,424866,0.564223,present
19,2815384,2617600,2139162,3293822,0.649447,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,53430,25018,82161,0.304500,present
22,85408,80233,68057,97584,0.697420,present
23,286740,265936,248661,304015,0.817923,present
24,35676,38541,24704,49513,0.498940,present
