metric,value
pixel_accuracy,0.923929
mean_iou,0.583784

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,653,0,11295,0.000000,present_but_no_true_positive
1,131353,48972,31444,148881,0.211202,present
2,134647,108607,89822,153432,0.585419,present
3,13499520,13753119,12621174,14631465,0.862605,present
4,23856123,24221328,22996996,25080455,0.916929,present
5,58520,32938,20991,70467,0.297884,present
6,194693,183932,170706,207919,0.821022,present
7,4675018,4488098,4078027,5085089,0.801958,present
8,376236,371349,332189,415396,0.799692,present
9,34149,58122,13747,78524,0.175067,present
10,1285617,1259028,1241824,1302821,0.953181,present
11,4099455,4103250,3780661,4422044,0.854958,present
12,932947,904920,837496,1000371,0.837185,present
13,6376874,6319348,5751301,6944921,0.828131,present
14,1219951,1271984,1177613,1314322,0.895985,present
15,332206,262679,182019,412866,0.440867,present
16,4745,64,0,4809,0.000000,present_but_no_true_positive
17,1978,66,57,1987,0.028686,present
18,466908,541820,413389,595339,0.694376,present
19,2732858,2503791,2112140,3124509,0.675991,present
20,3759,195,184,3770,0.048806,present
21,70403,51691,42077,80017,0.525851,present
22,109386,116606,97617,128375,0.760405,present
23,353558,362466,342927,373097,0.919136,present
24,68854,65374,53332,80896,0.659266,present
