metric,value
best_epoch,30
val_loss,0.234044
val_pixel_accuracy,0.924660
val_mean_iou,0.611783

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,422,6,13842,0.000433,present
1,148307,63981,51858,160430,0.323244,present
2,67818,50673,43390,75101,0.577755,present
3,13923779,14106521,13038892,14991408,0.869758,present
4,23519044,23695428,22560800,24653672,0.915109,present
5,71845,45341,32127,85059,0.377703,present
6,137257,140305,117095,160467,0.729714,present
7,4845315,4794228,4280459,5359084,0.798730,present
8,302346,302535,265808,339073,0.783926,present
9,40505,31338,22787,49056,0.464510,present
10,911811,925580,888078,949313,0.935495,present
11,4148624,4158863,3801586,4505901,0.843691,present
12,928096,926040,837416,1016720,0.823645,present
13,6629909,6652596,6085404,7197101,0.845535,present
14,1118808,1129028,1071292,1176544,0.910541,present
15,436338,324833,251598,509573,0.493743,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,3831,2703,5377,0.502697,present
18,338489,335004,261199,412294,0.633526,present
19,2815384,2689745,2262701,3242428,0.697842,present
20,3615,1703,514,4804,0.106994,present
21,53749,73636,40170,87215,0.460586,present
22,85408,91112,75222,101298,0.742581,present
23,286740,286477,261985,311232,0.841768,present
24,35676,37340,27806,45210,0.615041,present
