metric,value
best_epoch,10
val_loss,0.225082
val_pixel_accuracy,0.920976
val_mean_iou,0.576917

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,54537,42979,159865,0.268846,present
2,67818,54942,45463,77297,0.588160,present
3,13923779,13970231,12940943,14953067,0.865437,present
4,23519044,23981025,22643756,24856313,0.910986,present
5,71845,34675,23742,82778,0.286815,present
6,137257,125273,108865,153665,0.708457,present
7,4845315,4470839,4112104,5204050,0.790174,present
8,302346,306404,257665,351085,0.733911,present
9,40505,13118,10708,42915,0.249516,present
10,911811,910240,879578,942473,0.933266,present
11,4148624,4143996,3790343,4502277,0.841872,present
12,928096,928369,833620,1022845,0.815001,present
13,6629909,6675734,6060068,7245575,0.836382,present
14,1118808,1138146,1073710,1183244,0.907429,present
15,436338,313641,237703,512276,0.464014,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,3054,2189,5114,0.428041,present
18,338489,379374,275774,442089,0.623797,present
19,2815384,2932818,2340600,3407602,0.686876,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,35657,25977,63429,0.409545,present
22,85408,88115,71674,101849,0.703728,present
23,286740,274684,255707,305717,0.836417,present
24,35676,31688,23457,43907,0.534243,present
