metric,value
pixel_accuracy,0.918485
mean_iou,0.563968

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,37732,27345,141740,0.192924,present
2,134647,103687,87553,150781,0.580663,present
3,13499520,13575868,12478272,14597116,0.854845,present
4,23856123,24307091,22945532,25217682,0.909899,present
5,58520,24124,15540,67104,0.231581,present
6,194693,180395,168678,206410,0.817199,present
7,4675018,4331339,3976042,5030315,0.790416,present
8,376236,375557,323775,428018,0.756452,present
9,34149,49994,8547,75596,0.113062,present
10,1285617,1275988,1246547,1315058,0.947903,present
11,4099455,4107615,3768373,4438697,0.848982,present
12,932947,916605,834533,1015019,0.822185,present
13,6376874,6282594,5721178,6938290,0.824580,present
14,1219951,1277139,1177470,1319620,0.892280,present
15,332206,234330,168398,398138,0.422964,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,526109,394538,598479,0.659234,present
19,2732858,2836925,2186550,3383233,0.646290,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,53082,43082,80403,0.535826,present
22,109386,119139,96204,132321,0.727050,present
23,353558,351398,337246,367710,0.917152,present
24,68854,63689,50101,82442,0.607712,present
