metric,value
best_epoch,10
val_loss,0.241616
val_pixel_accuracy,0.916194
val_mean_iou,0.539067

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,48692,34612,162387,0.213145,present
2,67818,44163,37112,74869,0.495692,present
3,13923779,13858920,12837591,14945108,0.858983,present
4,23519044,24176198,22694487,25000755,0.907752,present
5,71845,17280,11716,77409,0.151352,present
6,137257,127345,104719,159883,0.654973,present
7,4845315,4389742,4054018,5181039,0.782472,present
8,302346,314292,247930,368708,0.672429,present
9,40505,6715,5405,41815,0.129260,present
10,911811,905109,869861,947059,0.918487,present
11,4148624,4265886,3822519,4591991,0.832432,present
12,928096,964258,836382,1055972,0.792049,present
13,6629909,6724911,6050400,7304420,0.828320,present
14,1118808,1146973,1072426,1193355,0.898665,present
15,436338,331058,226177,541219,0.417903,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,2091,1702,4638,0.366969,present
18,338489,333014,250184,421319,0.593811,present
19,2815384,2782899,2243137,3355146,0.668566,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,30961,19942,64768,0.307899,present
22,85408,86672,69782,102298,0.682144,present
23,286740,277446,253306,310880,0.814803,present
24,35676,31935,22191,45420,0.488573,present
