metric,value
pixel_accuracy,0.915755
mean_iou,0.542273

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,41217,24039,148531,0.161845,present
2,134647,94147,80563,148231,0.543496,present
3,13499520,13444376,12381636,14562260,0.850255,present
4,23856123,24530072,23027185,25359010,0.908047,present
5,58520,14469,9902,63087,0.156958,present
6,194693,179803,161689,212807,0.759792,present
7,4675018,4247571,3909553,5013036,0.779877,present
8,376236,390497,317104,449629,0.705257,present
9,34149,4135,3926,34358,0.114267,present
10,1285617,1266271,1237378,1314510,0.941323,present
11,4099455,4282888,3829765,4552578,0.841230,present
12,932947,948845,834689,1047103,0.797141,present
13,6376874,6319829,5753547,6943156,0.828665,present
14,1219951,1279392,1172316,1327027,0.883415,present
15,332206,254021,164223,422004,0.389150,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,455876,357143,565641,0.631395,present
19,2732858,2695107,2110956,3317009,0.636403,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,50027,39129,81301,0.481286,present
22,109386,120023,94909,134500,0.705643,present
23,353558,347606,332690,368474,0.902886,present
24,68854,64228,46580,86502,0.538485,present
