metric,value
best_epoch,10
val_loss,0.273517
val_pixel_accuracy,0.908173
val_mean_iou,0.470215

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,25231,19132,154406,0.123907,present
2,67818,17701,14983,70536,0.212416,present
3,13923779,14144282,12849884,15218177,0.844377,present
4,23519044,24200806,22649944,25069906,0.903471,present
5,71845,2360,1727,72478,0.023828,present
6,137257,122539,94508,165288,0.571778,present
7,4845315,4402804,4042952,5205167,0.776719,present
8,302346,300753,228018,375081,0.607917,present
9,40505,183,176,40512,0.004344,present
10,911811,918717,862158,968370,0.890319,present
11,4148624,4268490,3789421,4627693,0.818857,present
12,928096,972095,819661,1080530,0.758573,present
13,6629909,6887004,6072129,7444784,0.815622,present
14,1118808,1144497,1059756,1203549,0.880526,present
15,436338,257747,177377,516708,0.343283,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,322658,236567,424580,0.557179,present
19,2815384,2469262,2019503,3265143,0.618504,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,19589,12948,60390,0.214406,present
22,85408,86459,67218,104649,0.642319,present
23,286740,278286,242003,323023,0.749182,present
24,35676,25097,17297,43476,0.397852,present
