metric,value
best_epoch,10
val_loss,0.283420
val_pixel_accuracy,0.905697
val_mean_iou,0.457946

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,18469,14797,151979,0.097362,present
2,67818,15544,13014,70348,0.184995,present
3,13923779,14240306,12857288,15306797,0.839972,present
4,23519044,24206326,22632425,25092945,0.901944,present
5,71845,656,422,72079,0.005855,present
6,137257,118568,90327,165498,0.545789,present
7,4845315,4406843,4040001,5212157,0.775111,present
8,302346,295476,221418,376404,0.588246,present
9,40505,0,0,40505,0.000000,present_in_gt_not_predicted
10,911811,923221,859588,975444,0.881227,present
11,4148624,4245376,3770199,4623801,0.815390,present
12,928096,970790,812994,1085892,0.748688,present
13,6629909,6927188,6070914,7486183,0.810949,present
14,1118808,1143475,1055902,1206381,0.875264,present
15,436338,230368,159475,507231,0.314403,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,310535,226773,422251,0.537057,present
19,2815384,2416923,1972060,3260247,0.604881,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,13669,10557,56861,0.185663,present
22,85408,86320,66543,105185,0.632628,present
23,286740,273290,235867,324163,0.727619,present
24,35676,23217,16081,42812,0.375619,present
