metric,value
best_epoch,10
val_loss,0.232141
val_pixel_accuracy,0.918603
val_mean_iou,0.559048

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,50441,37707,161041,0.234145,present
2,67818,53894,42492,79220,0.536380,present
3,13923779,13732588,12798187,14858180,0.861356,present
4,23519044,24048745,22657136,24910653,0.909536,present
5,71845,28520,19997,80368,0.248818,present
6,137257,126509,106901,156865,0.681484,present
7,4845315,4453753,4098203,5200865,0.787985,present
8,302346,309026,252930,358442,0.705637,present
9,40505,10034,8153,42386,0.192351,present
10,911811,909416,875080,946147,0.924888,present
11,4148624,4230186,3821172,4557638,0.838411,present
12,928096,946866,837282,1037680,0.806879,present
13,6629909,6681301,6056792,7254418,0.834911,present
14,1118808,1150218,1076769,1192257,0.903135,present
15,436338,361408,246980,550766,0.448430,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,2412,1866,4795,0.389155,present
18,338489,352232,261805,428916,0.610388,present
19,2815384,2984288,2338697,3460975,0.675734,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,32413,22134,64028,0.345693,present
22,85408,89912,71742,103578,0.692637,present
23,286740,278356,256384,308712,0.830496,present
24,35676,34042,23783,45935,0.517753,present
