metric,value
best_epoch,10
val_loss,0.226358
val_pixel_accuracy,0.920229
val_mean_iou,0.574446

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,54765,42563,160509,0.265175,present
2,67818,51874,43229,76463,0.565358,present
3,13923779,14039699,12963915,14999563,0.864286,present
4,23519044,23968459,22631199,24856304,0.910481,present
5,71845,34342,23735,82452,0.287864,present
6,137257,125229,109207,153279,0.712472,present
7,4845315,4453501,4102789,5196027,0.789601,present
8,302346,305262,256685,350923,0.731457,present
9,40505,17171,10419,47257,0.220475,present
10,911811,913972,880268,945515,0.930993,present
11,4148624,4130557,3781886,4497295,0.840925,present
12,928096,928359,833076,1023379,0.814044,present
13,6629909,6625983,6027032,7228860,0.833746,present
14,1118808,1135693,1072165,1182336,0.906819,present
15,436338,325825,241383,520780,0.463503,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,2933,2162,5020,0.430677,present
18,338489,381496,276513,443472,0.623519,present
19,2815384,2941032,2336793,3419623,0.683348,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,36756,26315,64190,0.409955,present
22,85408,88454,71896,101966,0.705098,present
23,286740,272347,253946,305141,0.832225,present
24,35676,32851,24004,44523,0.539137,present
