metric,value
best_epoch,10
val_loss,0.349082
val_pixel_accuracy,0.898876
val_mean_iou,0.568392

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,9134,11,22549,0.000488,present
1,148307,104283,58268,194322,0.299853,present
2,67818,86440,55125,99133,0.556071,present
3,13923779,12360132,11905454,14378457,0.828006,present
4,23519044,21941887,21325792,24135139,0.883599,present
5,71845,127555,45415,153985,0.294931,present
6,137257,145251,116067,166441,0.697346,present
7,4845315,5601269,4506277,5940307,0.758593,present
8,302346,355871,272323,385894,0.705694,present
9,40505,33343,22887,50961,0.449108,present
10,911811,945774,889801,967784,0.919421,present
11,4148624,4531132,3923705,4756051,0.824992,present
12,928096,1059269,868661,1118704,0.776489,present
13,6629909,7016363,6121868,7524404,0.813602,present
14,1118808,1204753,1095370,1228191,0.891856,present
15,436338,684373,335873,784838,0.427952,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,7017,3255,8011,0.406316,present
18,338489,524041,300977,561553,0.535973,present
19,2815384,3549499,2444186,3920697,0.623406,present
20,3615,4004,1041,6578,0.158255,present
21,53749,85722,39811,99660,0.399468,present
22,85408,129258,81311,133355,0.609733,present
23,286740,301785,265584,322941,0.822392,present
24,35676,58405,32439,61642,0.526248,present
