metric,value
pixel_accuracy,0.896784
mean_iou,0.554899

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,21960,389,32213,0.012076,present
1,131353,95887,41631,185609,0.224294,present
2,134647,156572,99895,191324,0.522125,present
3,13499520,12053135,11516920,14035735,0.820543,present
4,23856123,22220709,21592008,24484824,0.881853,present
5,58520,111523,35447,134596,0.263358,present
6,194693,212081,177878,228896,0.777113,present
7,4675018,5472666,4349166,5798518,0.750048,present
8,376236,436804,343789,469251,0.732633,present
9,34149,70118,15611,88656,0.176085,present
10,1285617,1318088,1258701,1345004,0.935834,present
11,4099455,4472414,3885640,4686229,0.829161,present
12,932947,1054712,869297,1118362,0.777295,present
13,6376874,6588691,5800795,7164770,0.809628,present
14,1219951,1343001,1197342,1365610,0.876782,present
15,332206,558098,247597,642707,0.385241,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,4320,1274,5024,0.253583,present
18,466908,698556,427079,738385,0.578396,present
19,2732858,3411120,2307402,3836576,0.601422,present
20,3759,1931,530,5160,0.102713,present
21,70403,91094,49715,111782,0.444750,present
22,109386,161477,105838,165025,0.641345,present
23,353558,366047,342652,376953,0.909005,present
24,68854,109396,64511,113739,0.567185,present
