metric,value
best_epoch,30
val_loss,0.238249
val_pixel_accuracy,0.924665
val_mean_iou,0.559169

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,77374,52435,173246,0.302662,present
2,67818,54301,42889,79230,0.541323,present
3,13923779,13818468,12859963,14882284,0.864112,present
4,23519044,23979803,22761370,24737477,0.920117,present
5,71845,24009,20179,75675,0.266653,present
6,137257,125441,110504,152194,0.726073,present
7,4845315,4563940,4274401,5134854,0.832429,present
8,302346,297954,259260,341040,0.760204,present
9,40505,29865,11165,59205,0.188582,present
10,911811,907068,878952,939927,0.935128,present
11,4148624,4157881,3794967,4511538,0.841169,present
12,928096,965307,860295,1033108,0.832725,present
13,6629909,6899946,6150586,7379269,0.833495,present
14,1118808,1131631,1070127,1180312,0.906648,present
15,436338,317803,237161,516980,0.458743,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,302559,241042,400006,0.602596,present
19,2815384,2783042,2279337,3319089,0.686736,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,31037,22269,62517,0.356207,present
22,85408,83123,70951,97580,0.727106,present
23,286740,279524,257304,308960,0.832807,present
24,35676,36484,26013,46147,0.563699,present
