metric,value
pixel_accuracy,0.923570
mean_iou,0.563204

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,61932,33054,160231,0.206290,present
2,134647,101320,83371,152596,0.546351,present
3,13499520,13381707,12398482,14482745,0.856086,present
4,23856123,24373162,23124384,25104901,0.921110,present
5,58520,18403,14400,62523,0.230315,present
6,194693,184647,170188,209152,0.813705,present
7,4675018,4404923,4132289,4947652,0.835202,present
8,376236,364721,327702,413255,0.792978,present
9,34149,32564,8508,58205,0.146173,present
10,1285617,1272634,1247157,1311094,0.951234,present
11,4099455,4092414,3772826,4419043,0.853765,present
12,932947,946580,852401,1027126,0.829889,present
13,6376874,6532093,5843026,7065941,0.826928,present
14,1219951,1259976,1167971,1311956,0.890252,present
15,332206,239734,172729,399211,0.432676,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,394754,331047,530615,0.623893,present
19,2732858,2800377,2170956,3362279,0.645680,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,38562,30532,78433,0.389275,present
22,109386,108552,94837,123101,0.770400,present
23,353558,352433,338527,367464,0.921252,present
24,68854,68912,51481,86285,0.596639,present
