metric,value
best_epoch,3
val_loss,0.550722
val_pixel_accuracy,0.908601
val_mean_iou,0.338408

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,0,0,67818,0.000000,present_in_gt_not_predicted
3,13923779,14058067,12919602,15062244,0.857747,present
4,23519044,23878879,22716698,24681225,0.920404,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,0,0,137257,0.000000,present_in_gt_not_predicted
7,4845315,4701139,4311431,5235023,0.823574,present
8,302346,272663,219919,355090,0.619333,present
9,40505,1,0,40506,0.000000,present_but_no_true_positive
10,911811,960411,879181,993041,0.885342,present
11,4148624,4335126,3780929,4702821,0.803970,present
12,928096,1167899,830648,1265347,0.656459,present
13,6629909,7178203,6138753,7669359,0.800426,present
14,1118808,1132702,1055994,1195516,0.883296,present
15,436338,0,0,436338,0.000000,present_in_gt_not_predicted
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,332294,243991,426792,0.571686,present
19,2815384,2849176,2206261,3458299,0.637961,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,0,0,53749,0.000000,present_in_gt_not_predicted
22,85408,0,0,85408,0.000000,present_in_gt_not_predicted
23,286740,0,0,286740,0.000000,present_in_gt_not_predicted
24,35676,0,0,35676,0.000000,present_in_gt_not_predicted
