metric,value
pixel_accuracy,0.904623
mean_iou,0.338648

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,0,0,131353,0.000000,present_in_gt_not_predicted
2,134647,0,0,134647,0.000000,present_in_gt_not_predicted
3,13499520,13589247,12416933,14671834,0.846311,present
4,23856123,24237500,23054805,25038818,0.920763,present
5,58520,0,0,58520,0.000000,present_in_gt_not_predicted
6,194693,0,0,194693,0.000000,present_in_gt_not_predicted
7,4675018,4552739,4169212,5058545,0.824192,present
8,376236,325247,279366,422117,0.661821,present
9,34149,0,0,34149,0.000000,present_in_gt_not_predicted
10,1285617,1335937,1253755,1367799,0.916622,present
11,4099455,4468857,3797195,4771117,0.795871,present
12,932947,1276439,834674,1374712,0.607163,present
13,6376874,6757535,5812381,7322028,0.793821,present
14,1219951,1258618,1153844,1324725,0.871006,present
15,332206,0,0,332206,0.000000,present_in_gt_not_predicted
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,438603,346301,559210,0.619268,present
19,2732858,2789678,2091028,3431508,0.609361,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,0,0,70403,0.000000,present_in_gt_not_predicted
22,109386,0,0,109386,0.000000,present_in_gt_not_predicted
23,353558,0,0,353558,0.000000,present_in_gt_not_predicted
24,68854,0,0,68854,0.000000,present_in_gt_not_predicted
