metric,value
best_epoch,30
val_loss,0.386377
val_pixel_accuracy,0.918399
val_mean_iou,0.601921

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,374,0,13800,0.000000,present_but_no_true_positive
1,148307,88223,59986,176544,0.339779,present
2,67818,69455,51412,85861,0.598782,present
3,13923779,13305573,12622007,14607345,0.864086,present
4,23519044,22232383,21719942,24031485,0.903812,present
5,71845,125786,55711,141920,0.392552,present
6,137257,145911,121043,162125,0.746603,present
7,4845315,5238245,4558384,5525176,0.825021,present
8,302346,341046,283447,359945,0.787473,present
9,40505,70599,24730,86374,0.286313,present
10,911811,946547,894045,964313,0.927132,present
11,4148624,4260003,3853418,4555209,0.845937,present
12,928096,1017240,880245,1065091,0.826451,present
13,6629909,7061674,6179068,7512515,0.822503,present
14,1118808,1146146,1081265,1183689,0.913471,present
15,436338,581948,333866,684420,0.487809,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,6437,3584,7102,0.504647,present
18,338489,414201,287337,465353,0.617460,present
19,2815384,3247593,2465914,3597063,0.685535,present
20,3615,3952,1219,6348,0.192029,present
21,53749,87386,40839,100296,0.407185,present
22,85408,121047,82532,123923,0.665994,present
23,286740,297272,265922,318090,0.835996,present
24,35676,57519,33890,59305,0.571453,present
