metric,value
pixel_accuracy,0.918824
mean_iou,0.605303

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,369,1,11010,0.000091,present
1,131353,68153,40186,159320,0.252234,present
2,134647,127232,97758,164121,0.595646,present
3,13499520,12986966,12198694,14287792,0.853784,present
4,23856123,22692103,22159448,24388778,0.908592,present
5,58520,111983,45649,124854,0.365619,present
6,194693,213110,184026,223777,0.822363,present
7,4675018,5074463,4410048,5339433,0.825939,present
8,376236,417402,354721,438917,0.808173,present
9,34149,60777,19660,75266,0.261207,present
10,1285617,1315411,1266811,1334217,0.949479,present
11,4099455,4261240,3854326,4506369,0.855306,present
12,932947,997108,877303,1052752,0.833343,present
13,6376874,6543600,5830896,7089578,0.822460,present
14,1219951,1277249,1178627,1318573,0.893866,present
15,332206,475893,246185,561914,0.438119,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,2983,1445,3516,0.410978,present
18,466908,574181,421715,619374,0.680873,present
19,2732858,3132475,2324183,3541150,0.656336,present
20,3759,2749,960,5548,0.173035,present
21,70403,84155,50957,103601,0.491858,present
22,109386,151136,105242,155280,0.677756,present
23,353558,358818,341466,370910,0.920617,present
24,68854,100844,65901,103797,0.634903,present
