metric,value
best_epoch,23
val_loss,0.392320
val_pixel_accuracy,0.918919
val_mean_iou,0.595705

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,91631,60679,179259,0.338499,present
2,67818,75313,53198,89933,0.591529,present
3,13923779,13001043,12399581,14525241,0.853658,present
4,23519044,22760852,22085953,24193943,0.912871,present
5,71845,95528,52812,114561,0.460995,present
6,137257,148816,122207,163866,0.745774,present
7,4845315,4910900,4438840,5317375,0.834780,present
8,302346,328615,278064,352897,0.787947,present
9,40505,82240,23899,98846,0.241780,present
10,911811,941715,894282,959244,0.932278,present
11,4148624,4345734,3885408,4608950,0.843014,present
12,928096,1028505,873201,1083400,0.805982,present
13,6629909,7128021,6181386,7576544,0.815858,present
14,1118808,1196318,1096125,1219001,0.899199,present
15,436338,546206,320947,661597,0.485110,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,7798,3531,8516,0.414631,present
18,338489,425018,291659,471848,0.618121,present
19,2815384,3234048,2455833,3593599,0.683391,present
20,3615,660,228,4047,0.056338,present
21,53749,62049,34816,80982,0.429923,present
22,85408,120739,82909,123238,0.672755,present
23,286740,286438,263872,309306,0.853110,present
24,35676,48373,32009,52040,0.615085,present
