metric,value
best_epoch,10
val_loss,0.272713
val_pixel_accuracy,0.921067
val_mean_iou,0.500843

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,83307,25002,206612,0.121009,present
2,67818,57610,35847,89581,0.400163,present
3,13923779,14056024,12975557,15004246,0.864792,present
4,23519044,23668444,22554938,24632550,0.915656,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,120356,107482,150131,0.715921,present
7,4845315,4771657,4384527,5232445,0.837950,present
8,302346,309134,261815,349665,0.748760,present
9,40505,1441,607,41339,0.014683,present
10,911811,911517,879685,943643,0.932222,present
11,4148624,3914486,3660948,4402162,0.831625,present
12,928096,938671,842524,1024243,0.822582,present
13,6629909,7149388,6198801,7580496,0.817730,present
14,1118808,1136114,1072883,1182039,0.907654,present
15,436338,338322,237455,537205,0.442019,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,358748,269449,427788,0.629866,present
19,2815384,2700573,2239690,3276267,0.683610,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,13524,7931,59342,0.133649,present
22,85408,60637,55314,90731,0.609648,present
23,286740,262418,239763,309395,0.774941,present
24,35676,14189,11991,37874,0.316602,present
