metric,value
pixel_accuracy,0.923015
mean_iou,0.517497

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,95941,15871,211423,0.075068,present
2,134647,104037,76789,161895,0.474314,present
3,13499520,13734671,12595043,14639148,0.860367,present
4,23856123,24099207,22977730,24977600,0.919933,present
5,58520,0,0,58520,0.000000,present_in_gt_not_predicted
6,194693,176669,167088,204274,0.817960,present
7,4675018,4605811,4238679,5042150,0.840649,present
8,376236,375709,331003,420942,0.786339,present
9,34149,1322,369,35102,0.010512,present
10,1285617,1279990,1252521,1313086,0.953876,present
11,4099455,3928556,3674505,4353506,0.844034,present
12,932947,920869,844240,1009576,0.836232,present
13,6376874,6593501,5845403,7124972,0.820411,present
14,1219951,1244120,1164103,1299968,0.895486,present
15,332206,268419,177328,423297,0.418921,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,499043,394195,571756,0.689446,present
19,2732858,2624973,2128891,3228940,0.659316,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,8461,6189,72675,0.085160,present
22,109386,90511,80712,119185,0.677199,present
23,353558,348725,335262,367021,0.913468,present
24,68854,29865,26064,72655,0.358736,present
