metric,value
pixel_accuracy,0.899525
mean_iou,0.349949

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,0,0,131353,0.000000,present_in_gt_not_predicted
2,134647,0,0,134647,0.000000,present_in_gt_not_predicted
3,13499520,13491254,12353809,14636965,0.844014,present
4,23856123,23357349,22484484,24728988,0.909236,present
5,58520,0,0,58520,0.000000,present_in_gt_not_predicted
6,194693,0,0,194693,0.000000,present_in_gt_not_predicted
7,4675018,5107761,4358573,5424206,0.803541,present
8,376236,11574,9897,377913,0.026189,present
9,34149,43851,366,77634,0.004714,present
10,1285617,1361714,1251903,1395428,0.897146,present
11,4099455,4348356,3799412,4648399,0.817359,present
12,932947,948266,805483,1075730,0.748778,present
13,6376874,7196509,5865300,7708083,0.760928,present
14,1219951,1244951,1154605,1310297,0.881178,present
15,332206,1,1,332206,0.000003,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,430548,348780,548676,0.635676,present
19,2732858,3166131,2156953,3742036,0.576412,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,6,0,70409,0.000000,present_but_no_true_positive
22,109386,24,7,109403,0.000064,present
23,353558,321777,308646,366689,0.841711,present
24,68854,328,122,69060,0.001767,present
