metric,value
best_epoch,10
val_loss,0.521374
val_pixel_accuracy,0.913180
val_mean_iou,0.370671

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,0,0,67818,0.000000,present_in_gt_not_predicted
3,13923779,13983534,12924078,14983235,0.862569,present
4,23519044,23728668,22644915,24602797,0.920420,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,0,0,137257,0.000000,present_in_gt_not_predicted
7,4845315,4778298,4369192,5254421,0.831527,present
8,302346,242028,216918,327456,0.662434,present
9,40505,7,0,40512,0.000000,present_but_no_true_positive
10,911811,957821,884976,984656,0.898767,present
11,4148624,4270415,3775299,4643740,0.812987,present
12,928096,1001546,840921,1088721,0.772393,present
13,6629909,7153370,6190186,7593093,0.815239,present
14,1118808,1115371,1062297,1171882,0.906488,present
15,436338,215531,149848,502021,0.298490,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,341370,254230,425629,0.597304,present
19,2815384,3049106,2243069,3621421,0.619389,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,0,0,53749,0.000000,present_in_gt_not_predicted
22,85408,23847,22157,87098,0.254392,present
23,286740,5620,3992,288368,0.013843,present
24,35676,28,19,35685,0.000532,present
