metric,value
best_epoch,10
val_loss,1.021716
val_pixel_accuracy,0.902764
val_mean_iou,0.315726

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,67,67,67818,0.000988,present
3,13923779,13756930,12779224,14901485,0.857581,present
4,23519044,23131957,22279742,24371259,0.914181,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,0,0,137257,0.000000,present_in_gt_not_predicted
7,4845315,5165565,4489265,5521615,0.813035,present
8,302346,1822,1095,303073,0.003613,present
9,40505,26697,23,67179,0.000342,present
10,911811,992501,884415,1019897,0.867161,present
11,4148624,4347716,3819522,4676818,0.816692,present
12,928096,1117320,824489,1220927,0.675298,present
13,6629909,7704557,6236077,8098389,0.770039,present
14,1118808,1118752,1058093,1179467,0.897094,present
15,436338,20559,20038,436859,0.045868,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,311898,242439,407948,0.594289,present
19,2815384,3169876,2313406,3671854,0.630038,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,0,0,53749,0.000000,present_in_gt_not_predicted
22,85408,3,0,85411,0.000000,present_but_no_true_positive
23,286740,0,0,286740,0.000000,present_in_gt_not_predicted
24,35676,340,248,35768,0.006934,present
