metric,value
best_epoch,10
val_loss,0.268575
val_pixel_accuracy,0.923448
val_mean_iou,0.479525

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,6271,1131,153447,0.007371,present
2,67818,86517,45988,108347,0.424451,present
3,13923779,13981522,12969518,14935783,0.868352,present
4,23519044,23573616,22565461,24527199,0.920018,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,112360,101046,148571,0.680119,present
7,4845315,4855971,4422464,5278822,0.837775,present
8,302346,305833,262062,346117,0.757149,present
9,40505,57,57,40505,0.001407,present
10,911811,923433,883387,951857,0.928067,present
11,4148624,4170462,3794421,4524665,0.838608,present
12,928096,946279,847735,1026640,0.825737,present
13,6629909,6873121,6119284,7383746,0.828751,present
14,1118808,1127050,1064213,1181645,0.900620,present
15,436338,430906,261825,605419,0.432469,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,363453,275502,426440,0.646051,present
19,2815384,2746045,2288093,3273336,0.699010,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,0,0,53749,0.000000,present_in_gt_not_predicted
22,85408,84771,68534,101645,0.674249,present
23,286740,278893,236378,329255,0.717918,present
24,35676,0,0,35676,0.000000,present_in_gt_not_predicted
