metric,value
best_epoch,10
val_loss,1.168081
val_pixel_accuracy,0.904440
val_mean_iou,0.342649

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,412,38,68192,0.000557,present
3,13923779,13943235,12865385,15001629,0.857599,present
4,23519044,23005326,22179157,24345213,0.911027,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,0,0,137257,0.000000,present_in_gt_not_predicted
7,4845315,5249817,4509266,5585866,0.807264,present
8,302346,3379,2264,303461,0.007461,present
9,40505,19443,235,59713,0.003935,present
10,911811,989721,880802,1020730,0.862914,present
11,4148624,4323453,3794548,4677529,0.811229,present
12,928096,965612,817725,1075983,0.759979,present
13,6629909,7643513,6203485,8069937,0.768715,present
14,1118808,1122613,1058392,1183029,0.894646,present
15,436338,401,399,436340,0.000914,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,296354,234431,400412,0.585474,present
19,2815384,3079686,2302488,3592582,0.640901,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,5,0,53754,0.000000,present_but_no_true_positive
22,85408,6,0,85414,0.000000,present_but_no_true_positive
23,286740,223533,201504,308769,0.652604,present
24,35676,51,36,35691,0.001009,present
