metric,value
best_epoch,10
val_loss,0.358770
val_pixel_accuracy,0.920280
val_mean_iou,0.427868

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,0,0,148307,0.000000,present_in_gt_not_predicted
2,67818,18,18,67818,0.000265,present
3,13923779,14177761,13050624,15050916,0.867098,present
4,23519044,23572015,22549191,24541868,0.918805,present
5,71845,0,0,71845,0.000000,present_in_gt_not_predicted
6,137257,0,0,137257,0.000000,present_in_gt_not_predicted
7,4845315,4829597,4397479,5277433,0.833261,present
8,302346,290740,244871,348215,0.703218,present
9,40505,0,0,40505,0.000000,present_in_gt_not_predicted
10,911811,934117,884145,961783,0.919277,present
11,4148624,4252684,3797600,4603708,0.824900,present
12,928096,966588,848369,1046315,0.810816,present
13,6629909,6925688,6121164,7434433,0.823353,present
14,1118808,1111374,1061576,1168606,0.908412,present
15,436338,334922,214248,557012,0.384638,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,339579,255300,422768,0.603877,present
19,2815384,2816455,2301729,3330110,0.691187,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,0,0,53749,0.000000,present_in_gt_not_predicted
22,85408,60247,56629,89026,0.636095,present
23,286740,253598,230299,310039,0.742807,present
24,35676,1177,1028,35825,0.028695,present
