metric,value
best_epoch,9
val_loss,0.412122
val_pixel_accuracy,0.905578
val_mean_iou,0.543447

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,79969,44737,183539,0.243747,present
2,67818,71400,47133,92085,0.511842,present
3,13923779,13034472,12356642,14601609,0.846252,present
4,23519044,21731742,21294283,23956503,0.888873,present
5,71845,124272,50078,146039,0.342908,present
6,137257,140782,117191,160848,0.728582,present
7,4845315,5581969,4611172,5816112,0.792827,present
8,302346,334077,266914,369509,0.722348,present
9,40505,40719,18570,62654,0.296390,present
10,911811,940744,889653,962902,0.923929,present
11,4148624,4419671,3882824,4685471,0.828694,present
12,928096,1085315,874804,1138607,0.768311,present
13,6629909,6874442,6099387,7404964,0.823689,present
14,1118808,1172273,1087467,1203614,0.903501,present
15,436338,518393,306663,648068,0.473196,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,565229,314533,589185,0.533844,present
19,2815384,3591841,2445209,3962016,0.617163,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,82427,35557,100619,0.353383,present
22,85408,118517,81094,122831,0.660208,present
23,286740,292747,261643,317844,0.823181,present
24,35676,65559,33894,67341,0.503319,present
