metric,value
pixel_accuracy,0.903917
mean_iou,0.550952

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,10642,0,0,10642,0.000000,present_in_gt_not_predicted
1,131353,75134,37823,168664,0.224251,present
2,134647,134152,93198,175601,0.530737,present
3,13499520,12634344,11878798,14255066,0.833304,present
4,23856123,22066044,21611938,24310229,0.889006,present
5,58520,112052,39216,131356,0.298547,present
6,194693,208165,180221,222637,0.809484,present
7,4675018,5435350,4458348,5652020,0.788806,present
8,376236,420489,339706,457019,0.743308,present
9,34149,38818,14603,58364,0.250206,present
10,1285617,1308155,1258879,1334893,0.943056,present
11,4099455,4376071,3867167,4608359,0.839164,present
12,932947,1066438,874373,1125012,0.777212,present
13,6376874,6446022,5781542,7041354,0.821084,present
14,1219951,1310673,1187002,1343622,0.883434,present
15,332206,427802,229856,530152,0.433566,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,0,0,1978,0.000000,present_in_gt_not_predicted
18,466908,769695,447226,789377,0.566556,present
19,2732858,3479663,2307780,3904741,0.591020,present
20,3759,0,0,3759,0.000000,present_in_gt_not_predicted
21,70403,87103,48295,109211,0.442217,present
22,109386,153068,104397,158057,0.660502,present
23,353558,362053,339861,375750,0.904487,present
24,68854,119109,66213,121750,0.543844,present
